seed,subset,n_rows,gate_AUPRC,lexical_AUPRC,gate_minus_lexical,boot_delta_mean,boot_ci95_low,boot_ci95_high,mean_g_lex
20260819,full_test,3372,0.8784610353857567,0.86800859469365,0.010452440692106713,0.01043763421385589,0.006395421157006106,0.014314813181028448,0.8214850194064799
20260819,multi_ip_dns,952,0.7246549670062115,0.696264979867334,0.028389987138877415,0.028667124500262098,0.014448782356344793,0.04348396830722583,0.8027839478095063
20260819,lex_benign_shape_multi_ip,606,0.7471897158903026,0.7205431917178949,0.02664652417240765,0.02665914216920573,0.013016034424256454,0.044126692714103626,0.8183118689045709
20260819,ttl_informative,3326,0.875626697979131,0.8651363091619404,0.010490388817190555,0.010636970414386658,0.006385379961153789,0.015038411207969846,0.8206496912084635
20260820,full_test,3372,0.8807183034383679,0.86800859469365,0.012709708744717885,0.012822898976360549,0.00855660881624436,0.01684007067814643,0.805993469790688
20260820,multi_ip_dns,952,0.722591619489822,0.696264979867334,0.026326639622487935,0.026430998254220527,0.011829918636201139,0.04118140739315917,0.7398035700327731
20260820,lex_benign_shape_multi_ip,606,0.7400058865538818,0.7205431917178949,0.019462694835986838,0.019344391113834406,0.0010610175698970853,0.039082814442044464,0.7561606792336635
20260820,ttl_informative,3326,0.8780795412155695,0.8651363091619404,0.012943232053629128,0.012958037279511964,0.008476649968410282,0.01761186213802903,0.8039228663647624
20260821,full_test,3372,0.8798243778523116,0.86800859469365,0.011815783158661608,0.011818847298548185,0.006872723115512627,0.016357087970348103,0.8013655613135514
20260821,multi_ip_dns,952,0.7242986557614173,0.696264979867334,0.028033675894083232,0.02781012291981222,0.012567711865572477,0.043493129613096766,0.7485021450750368
20260821,lex_benign_shape_multi_ip,606,0.7427313680667957,0.7205431917178949,0.0221881763489008,0.021865604088468597,0.007611281764120571,0.037097033349774725,0.7693644014243399
20260821,ttl_informative,3326,0.8770601272571634,0.8651363091619404,0.011923818095223027,0.011986378064436224,0.007613881882890206,0.016520068017744853,0.798903694428531
