subset,gate_AUPRC_mean,gate_AUPRC_std,lexical_AUPRC_mean,gate_minus_lexical_mean,boot_delta_mean,mean_g_lex,n_rows_mean
full_test,0.879667905558812,0.0011367398336072847,0.86800859469365,0.011659310865162068,0.011693126829588209,0.8096146835035731,3372.0
lex_benign_shape_multi_ip,0.7433089901703266,0.003626580545716683,0.7205431917178949,0.022765798452431762,0.02262304579050291,0.7812789831875248,606.0
multi_ip_dns,0.7238484140858169,0.0011029002303849548,0.696264979867334,0.02758343421848286,0.027636081891431616,0.763696554305772,952.0
ttl_informative,0.8769221221506213,0.0012322313267846237,0.8651363091619405,0.011785812988680902,0.011860461919444948,0.8078254173339191,3326.0
