variant,split,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
prob,full_test,3372,1683,0.8719891502793178,0.5085849615156898,0.7897188875827392,0.029692720940316046
prob,model_high_conflict,96,28,0.5988310663026202,0.7941176470588235,0.6392914653784219,0.14905354924543998
logit,full_test,3372,1683,0.8707610995154114,0.5204262877442274,0.7905166178295188,0.01784573724224879
logit,model_high_conflict,96,28,0.6202995096174146,0.8382352941176471,0.656005308560053,0.14230123607425627
prob_interaction,full_test,3372,1683,0.873027297983987,0.5198342214328004,0.7897234743735961,0.03070998154422002
prob_interaction,model_high_conflict,96,28,0.5638855190733022,0.8382352941176471,0.6392914653784219,0.1276400523623696
