seed,subset,system,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
20260819,lex_benign_shape,cross_attentive_gate,2018,932,0.8907414549138538,0.4429097605893186,0.8068999094674445,0.047891233637165534
20260819,lex_benign_shape,residual_correction_gate,2018,932,0.8964107824200209,0.429097605893186,0.8199809510225593,0.043179556152874124
20260819,lex_benign_shape,standalone_conflict_classifier,2018,932,0.8921514213733573,0.4143646408839779,0.8224434514394179,0.0302806040800793
20260819,lex_benign_shape_multi_ip,cross_attentive_gate,606,171,0.7471897158903026,0.47126436781609193,0.7515224843718491,0.08338621408415842
20260819,lex_benign_shape_multi_ip,residual_correction_gate,606,171,0.761645088393123,0.4,0.7669230769230769,0.06969234672442243
20260819,lex_benign_shape_multi_ip,standalone_conflict_classifier,606,171,0.7665142631305013,0.42298850574712643,0.7893964551878596,0.05601347313828384
20260819,multi_ip_dns,cross_attentive_gate,952,285,0.7246549670062115,0.5352323838080959,0.7353638667030211,0.08146339439600842
20260819,multi_ip_dns,residual_correction_gate,952,285,0.7371232293139948,0.5307346326836582,0.7443904203445949,0.06448528197794118
20260819,multi_ip_dns,standalone_conflict_classifier,952,285,0.7279182583469701,0.6041979010494752,0.7573031602127112,0.04420121073865546
20260819,ttl_low,cross_attentive_gate,648,218,0.8928025696811233,0.386046511627907,0.8204278795428833,0.11397225009182099
20260819,ttl_low,residual_correction_gate,648,218,0.902069481593507,0.3883720930232558,0.8545112781954887,0.11260852245462967
20260819,ttl_low,standalone_conflict_classifier,648,218,0.8768154069731313,0.6674418604651163,0.8418554399896896,0.04203907738040124
20260820,lex_benign_shape,cross_attentive_gate,2018,932,0.8904899739474582,0.44659300184162065,0.8082993140437993,0.041077392474331016
20260820,lex_benign_shape,residual_correction_gate,2018,932,0.8961159600007522,0.4208103130755064,0.8172494367352139,0.049998928762834474
20260820,lex_benign_shape,standalone_conflict_classifier,2018,932,0.8904341404631382,0.4134438305709024,0.8206179791367614,0.029883876916451915
20260820,lex_benign_shape_multi_ip,cross_attentive_gate,606,171,0.7400058865538818,0.46436781609195404,0.7431622965641953,0.06656383886303631
20260820,lex_benign_shape_multi_ip,residual_correction_gate,606,171,0.7664495703408827,0.3632183908045977,0.75359266192163,0.08193373259735973
20260820,lex_benign_shape_multi_ip,standalone_conflict_classifier,606,171,0.7569458551870549,0.42298850574712643,0.7449603274194483,0.06904070446287128
20260820,multi_ip_dns,cross_attentive_gate,952,285,0.722591619489822,0.5787106446776612,0.7290750988142293,0.06622724581302519
20260820,multi_ip_dns,residual_correction_gate,952,285,0.7344048248000297,0.52023988005997,0.7348493984552216,0.06504535697268907
20260820,multi_ip_dns,standalone_conflict_classifier,952,285,0.7266244120609715,0.48425787106446777,0.7287197231833911,0.04398255479674369
20260820,ttl_low,cross_attentive_gate,648,218,0.8864748131989335,0.43488372093023253,0.8173806107808977,0.11820127227268513
20260820,ttl_low,residual_correction_gate,648,218,0.8847437887913592,0.3488372093023256,0.8458317472401979,0.09627698160648143
20260820,ttl_low,standalone_conflict_classifier,648,218,0.9009369476344972,0.3209302325581395,0.868338971137372,0.04531778965648149
20260821,lex_benign_shape,cross_attentive_gate,2018,932,0.8907123228109807,0.46593001841620624,0.8146750837162942,0.04212309084722497
20260821,lex_benign_shape,residual_correction_gate,2018,932,0.8946140885599853,0.43370165745856354,0.8165108589589618,0.04688369341744302
20260821,lex_benign_shape,standalone_conflict_classifier,2018,932,0.894347466391969,0.42357274401473294,0.8217300331919895,0.03688936370550795
20260821,lex_benign_shape_multi_ip,cross_attentive_gate,606,171,0.7427313680667957,0.4781609195402299,0.7372786070528523,0.07118279818481849
20260821,lex_benign_shape_multi_ip,residual_correction_gate,606,171,0.7531977218909851,0.4850574712643678,0.7568420481862381,0.06581749178712872
20260821,lex_benign_shape_multi_ip,standalone_conflict_classifier,606,171,0.7999104499333489,0.34942528735632183,0.7737426760068757,0.0796886145534241
20260821,multi_ip_dns,cross_attentive_gate,952,285,0.7242986557614173,0.5547226386806596,0.7205706655422026,0.07124371785399161
20260821,multi_ip_dns,residual_correction_gate,952,285,0.7311779441041597,0.5562218890554723,0.7375860324749504,0.061967495555672256
20260821,multi_ip_dns,standalone_conflict_classifier,952,285,0.7220852387135611,0.5262368815592204,0.7270131086142322,0.04625218670013129
20260821,ttl_low,cross_attentive_gate,648,218,0.8865462144291006,0.45348837209302323,0.8158822309765706,0.11710234872592595
20260821,ttl_low,residual_correction_gate,648,218,0.8893125538702176,0.3883720930232558,0.8412028363412147,0.09725948184567898
20260821,ttl_low,standalone_conflict_classifier,648,218,0.89073849966308,0.4186046511627907,0.8418554399896896,0.037838182510046316
