seed,ablation,split,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
20260708,fixed_lexical,test,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260708,fixed_lexical,model_conditioned_high_conflict,96,28,0.6409203801867431,0.8382352941176471,0.6392914653784219,0.1513015250854449
20260708,fixed_lexical,independent_lex_benign_multi_ip,606,171,0.7205431917178949,0.5172413793103449,0.7400324991875203,0.07956890536437587
20260708,fixed_behavior,test,3372,1683,0.5738444319986198,0.8466548253404381,0.510338671328434,0.09733924111036182
20260708,fixed_behavior,model_conditioned_high_conflict,96,28,0.2986347533236825,1.0,0.29135909683022143,0.5271792995313418
20260708,fixed_behavior,independent_lex_benign_multi_ip,606,171,0.3036214364914525,0.9770114942528736,0.4111523977530058,0.1610221273394
20260708,fixed_average,test,3372,1683,0.8627732991028809,0.5476613380698638,0.7679177481594718,0.14035329910314212
20260708,fixed_average,model_conditioned_high_conflict,96,28,0.5709087968603368,0.75,0.6696826812794698,0.17939650037722973
20260708,fixed_average,independent_lex_benign_multi_ip,606,171,0.6303246481532413,0.6137931034482759,0.7115798476989295,0.12924747071788392
20260708,validation_tuned_constant_gate,test,3372,1683,0.87176335370317,0.5127294256956779,0.7818934349346538,0.07373894140740692
20260708,validation_tuned_constant_gate,model_conditioned_high_conflict,96,28,0.5997973374020555,0.8235294117647058,0.6392914653784219,0.12504649431012432
20260708,validation_tuned_constant_gate,independent_lex_benign_multi_ip,606,171,0.7122708106410951,0.5264367816091954,0.7438891346012089,0.09294129090366188
20260708,cross_attention_with_gate_loss,test,3372,1683,0.88098430249106,0.48845470692717585,0.7957977914446641,0.05489788454223543
20260708,cross_attention_with_gate_loss,model_conditioned_high_conflict,96,28,0.6634295133435892,0.8382352941176471,0.7041819515774028,0.08359872163456164
20260708,cross_attention_with_gate_loss,independent_lex_benign_multi_ip,606,171,0.7651053799493102,0.45517241379310347,0.7589364226394026,0.08342297393769957
20260708,cross_attention_no_gate_loss,test,3372,1683,0.8802791513724173,0.5109532267613973,0.797396902275649,0.051560167051098185
20260708,cross_attention_no_gate_loss,model_conditioned_high_conflict,96,28,0.7048801434468729,0.8382352941176471,0.6952380952380952,0.07377395004754968
20260708,cross_attention_no_gate_loss,independent_lex_benign_multi_ip,606,171,0.7514010776088806,0.5149425287356322,0.7504178083357443,0.0835747756021243
20260708,cross_attention_token_shuffle,test,3372,1683,0.8819664228071925,0.4991119005328597,0.7932686018253625,0.05802114958562892
20260708,cross_attention_token_shuffle,model_conditioned_high_conflict,96,28,0.6803138166206075,0.8382352941176471,0.6855270994639666,0.08317277235558106
20260708,cross_attention_token_shuffle,independent_lex_benign_multi_ip,606,171,0.7425667642705723,0.47586206896551725,0.747442924954792,0.06983083615939065
20260708,pooled_mlp_same_tokens,test,3372,1683,0.8708009776703309,0.5174659561870929,0.7793011076317071,0.0583989831606766
20260708,pooled_mlp_same_tokens,model_conditioned_high_conflict,96,28,0.6184585259118205,0.8382352941176471,0.6481607167096511,0.14065944933608793
20260708,pooled_mlp_same_tokens,independent_lex_benign_multi_ip,606,171,0.7153726324498472,0.5011494252873563,0.7345970613309263,0.08956903153233779
20260708,query_only_gate,test,3372,1683,0.8706104417190079,0.5198342214328004,0.7799970565132679,0.05313487965677379
20260708,query_only_gate,model_conditioned_high_conflict,96,28,0.5998518864537141,0.8382352941176471,0.6571428571428571,0.10052249115220696
20260708,query_only_gate,independent_lex_benign_multi_ip,606,171,0.7131421072359231,0.5080459770114942,0.7330360837816551,0.08764783034048315
20260709,fixed_lexical,test,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260709,fixed_lexical,model_conditioned_high_conflict,96,28,0.6409203801867431,0.8382352941176471,0.6392914653784219,0.1513015250854449
20260709,fixed_lexical,independent_lex_benign_multi_ip,606,171,0.7205431917178949,0.5172413793103449,0.7400324991875203,0.07956890536437587
20260709,fixed_behavior,test,3372,1683,0.5738444319986198,0.8466548253404381,0.510338671328434,0.09733924111036182
20260709,fixed_behavior,model_conditioned_high_conflict,96,28,0.2986347533236825,1.0,0.29135909683022143,0.5271792995313418
20260709,fixed_behavior,independent_lex_benign_multi_ip,606,171,0.3036214364914525,0.9770114942528736,0.4111523977530058,0.1610221273394
20260709,fixed_average,test,3372,1683,0.8627732991028809,0.5476613380698638,0.7679177481594718,0.14035329910314212
20260709,fixed_average,model_conditioned_high_conflict,96,28,0.5709087968603368,0.75,0.6696826812794698,0.17939650037722973
20260709,fixed_average,independent_lex_benign_multi_ip,606,171,0.6303246481532413,0.6137931034482759,0.7115798476989295,0.12924747071788392
20260709,validation_tuned_constant_gate,test,3372,1683,0.87176335370317,0.5127294256956779,0.7818934349346538,0.07373894140740692
20260709,validation_tuned_constant_gate,model_conditioned_high_conflict,96,28,0.5997973374020555,0.8235294117647058,0.6392914653784219,0.12504649431012432
20260709,validation_tuned_constant_gate,independent_lex_benign_multi_ip,606,171,0.7122708106410951,0.5264367816091954,0.7438891346012089,0.09294129090366188
20260709,cross_attention_with_gate_loss,test,3372,1683,0.8783685829927304,0.4896388395500296,0.7926957627792353,0.052913668041259035
20260709,cross_attention_with_gate_loss,model_conditioned_high_conflict,96,28,0.6497490546041635,0.8382352941176471,0.6662494785148101,0.1268099772714285
20260709,cross_attention_with_gate_loss,independent_lex_benign_multi_ip,606,171,0.7379537986854273,0.45057471264367815,0.7392489681832107,0.07504290543998784
20260709,cross_attention_no_gate_loss,test,3372,1683,0.8708520633124945,0.5079928952042628,0.7879793650995502,0.04045700406266228
20260709,cross_attention_no_gate_loss,model_conditioned_high_conflict,96,28,0.6869818893508068,0.8382352941176471,0.7141155449672424,0.07453895666784995
20260709,cross_attention_no_gate_loss,independent_lex_benign_multi_ip,606,171,0.7386447957512604,0.45057471264367815,0.7501871535186511,0.07762940430453848
20260709,cross_attention_token_shuffle,test,3372,1683,0.8774742772746483,0.5026642984014209,0.7918148411569463,0.049857933621252806
