seed,delta,n_rows,gate_routing_acc,fixed_lex_acc,fixed_beh_acc,delta_gate_minus_lex,delta_gate_minus_beh,g_mean_lex_correct_only,g_mean_beh_correct_only,n_lex_correct_only,n_beh_correct_only,boot_gate_minus_lex_mean,boot_gate_minus_lex_ci95,boot_gate_minus_beh_mean,boot_gate_minus_beh_ci95,boot_g_regime_diff_mean,boot_g_regime_diff_ci95
20260819,0.05,3092,0.823738680465718,0.8127425614489003,0.5336351875808538,0.01099611901681763,0.29010349288486414,0.9181908459237331,0.6609881372136499,1200,337,0.011190168175937902,"[0.001924320827943105, 0.02022153945666234]",0.29082255282449326,"[0.2706985769728331, 0.3109718628719275]",0.25820278567337646,"[0.21619795674566739, 0.29332358854562834]"
20260819,0.1,2785,0.8359066427289048,0.8233393177737881,0.5274685816876122,0.012567324955116699,0.30843806104129257,0.9203647228982357,0.6620693580498441,1145,321,0.01244165170556553,"[0.004120287253141841, 0.021921005385996385]",0.3077833632555356,"[0.286705565529623, 0.3292818671454219]",0.2581967549545065,"[0.22252295432399677, 0.2976003917845976]"
20260819,0.2,2156,0.859925788497217,0.8506493506493507,0.5148423005565863,0.009276437847866359,0.3450834879406307,0.935999249016853,0.6860200269214876,966,242,0.009367656153370442,"[-0.002562615955473074, 0.020651669758812646]",0.34513760049474335,"[0.32047773654916517, 0.36922541743970316]",0.24962779655120643,"[0.20376238123112234, 0.307555442564951]"
20260820,0.05,3092,0.823738680465718,0.8127425614489003,0.5336351875808538,0.01099611901681763,0.29010349288486414,0.899225278766,0.6134968887946587,1200,337,0.010804225959465286,"[0.0014472833117722824, 0.019898124191461874]",0.28991159982751186,"[0.27052878395860286, 0.31064844760672694]",0.2841363894034758,"[0.24700260020361794, 0.32131519827637944]"
20260820,0.1,2785,0.8362657091561939,0.8233393177737881,0.5274685816876122,0.01292639138240581,0.3087971274685817,0.9009019177023581,0.6149621645788161,1145,321,0.012593656493117888,"[0.0008886894075403886, 0.02299820466786355]",0.30865709156193893,"[0.28776481149012567, 0.3301705565529623]",0.28640071821376767,"[0.24524679660914916, 0.3232816472874034]"
20260820,0.2,2156,0.8608534322820037,0.8506493506493507,0.5148423005565863,0.010204081632653073,0.3460111317254174,0.920358711157557,0.6380657159909091,966,242,0.009911873840445272,"[-0.0021219851576994376, 0.020408163265306145]",0.345230364873222,"[0.3167903525046383, 0.37037337662337666]",0.2800773743687044,"[0.23043362809040077, 0.32335147991373947]"
20260821,0.05,3092,0.8192108667529108,0.8127425614489003,0.5336351875808538,0.0064683053040104355,0.28557567917205695,0.8898971820925707,0.582511559568724,1200,337,0.0064284174213022835,"[-0.005174644243208237, 0.017957632600258743]",0.28550560586459683,"[0.26518434670116425, 0.3075679172056921]",0.30723301855220725,"[0.2679788789321783, 0.34825376383767054]"
20260821,0.1,2785,0.8315978456014362,0.8233393177737881,0.5274685816876122,0.008258527827648132,0.304129263913824,0.8919525139310787,0.5849780034724611,1145,321,0.008707360861759428,"[-0.0023429084380610643, 0.02082585278276478]",0.3032519449431479,"[0.28043087971274683, 0.3255026929982046]",0.3073493242655996,"[0.26655913769023176, 0.34982435273558166]"
20260821,0.2,2156,0.8571428571428571,0.8506493506493507,0.5148423005565863,0.00649350649350644,0.3423005565862708,0.9149291214137112,0.623293328539504,966,242,0.006982065553494124,"[-0.005589053803339557, 0.02087198515769945]",0.3420701917130488,"[0.31747448979591836, 0.3650278293135436]",0.2944244132575547,"[0.24194148072253813, 0.3458605084515762]"
