seed,system,split,missing_rate,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
20260708,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.88098430249106,0.48845470692717585,0.7957977914446641,0.05489788454223543
20260708,dropout_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8810902504888465,0.49082297217288334,0.7894750208728171,0.05365983029930465
20260708,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.88098430249106,0.48845470692717585,0.7957977914446641,0.05489788454223543
20260708,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8805644474710603,0.4985198342214328,0.7871883875039445,0.05834085728214049
20260708,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8745222312808131,0.48194197750148016,0.7946204631196385,0.04304212257834164
20260708,dropout_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8778539219068304,0.48134991119005327,0.7872076691373067,0.04753313979112059
20260708,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8753360624092255,0.48194197750148016,0.7930683497856188,0.04336116998501334
20260708,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8773362279640881,0.4937833037300178,0.7864749927240337,0.05174209518311848
20260708,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8707610644127926,0.5020722320899941,0.7880772270918018,0.033517829453511394
20260708,dropout_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8726954120666385,0.5079928952042628,0.7849611026551666,0.04042327451241258
20260708,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8713469405889505,0.5020722320899941,0.7861687511009336,0.037727341108936545
20260708,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.872335327265817,0.5091770278271166,0.7851677224450822,0.04294827274300368
20260708,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8689656215170003,0.5381882770870338,0.7840642039754868,0.02875153697114633
20260708,dropout_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8705986106181905,0.5364120781527532,0.782377198029692,0.037826705350092055
20260708,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8696387062848037,0.5381882770870338,0.7830567105402935,0.028443218959009586
20260708,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8697398331432331,0.5387803433984606,0.7823319687668837,0.03908349050673653
20260708,no_dropout_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7876630332495484,0.02233414920034145
20260708,dropout_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7872115751811086,0.03346824787953265
20260708,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7861148282870013,0.025012027206089416
20260708,dropout_no_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7872115751811086,0.03231084366514101
20260709,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8783685829927304,0.4896388395500296,0.7926957627792353,0.052913668041259035
20260709,dropout_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8801825364964369,0.4985198342214328,0.7881343343264615,0.05622986427069232
20260709,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8783685829927304,0.4896388395500296,0.7926957627792353,0.052913668041259035
20260709,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8806350687311233,0.4860864416814683,0.7883483034923309,0.054850645166665414
20260709,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8742384350434301,0.4991119005328597,0.7907449790388881,0.04503055058414448
20260709,dropout_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8751396969303284,0.5056246299585554,0.7858391916819683,0.04610781337791182
20260709,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8740603751551819,0.4991119005328597,0.7898895571412231,0.044181035363303936
20260709,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8741521982105841,0.4991119005328597,0.7878905985701076,0.0468618039967417
20260709,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8720588197566268,0.5014801657785672,0.788495436647004,0.040204452614631354
20260709,dropout_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8732944789097108,0.5156897572528123,0.789693485347988,0.03873825763801774
20260709,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8720174251253678,0.5014801657785672,0.7903734903052831,0.03956964413429977
20260709,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8732814454955625,0.5168738898756661,0.7946706792323328,0.042790255883030426
20260709,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8711603095899837,0.5038484310242747,0.7883363831312614,0.037537108776813356
20260709,dropout_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8712156781845388,0.507400828892836,0.791409618851058,0.03340883824763598
20260709,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.871208172438146,0.5038484310242747,0.7905379502049411,0.0355646275828619
20260709,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.870908676684809,0.5121373593842511,0.7941873534569645,0.0408058645927901
20260709,no_dropout_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.0383377867576729
20260709,dropout_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7876523508576398,0.022948804614573735
20260709,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.787127491114992,0.03563059816832642
20260709,dropout_no_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7923236105636579,0.03792907428203134
20260710,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.879096062205909,0.4985198342214328,0.7952319503459087,0.05199047866273657
20260710,dropout_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8784501307441066,0.4854943753700414,0.7882459527196369,0.05221548923868754
20260710,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.879096062205909,0.4985198342214328,0.7952319503459087,0.05199047866273657
20260710,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.0,3372,1683,0.8812974192040007,0.4896388395500296,0.7894085384872688,0.05645110260426668
20260710,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8781966560803587,0.5050325636471285,0.7959914275887006,0.0458092311573529
20260710,dropout_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8758678028842963,0.4872705743043221,0.7892095477067487,0.04697139882506151
20260710,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8784077579629601,0.5050325636471285,0.7959914275887006,0.04601970408639554
20260710,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.25,3372,1683,0.8784433261230715,0.4979277679100059,0.7922426971354954,0.05142111983871836
20260710,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8730767820812311,0.5180580224985198,0.790386207104522,0.044336185039061
20260710,dropout_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.871796139775271,0.4979277679100059,0.7851213693956363,0.04281131108362316
20260710,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8730783912960631,0.5180580224985198,0.790386207104522,0.04474132455266236
20260710,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.5,3372,1683,0.8745650692114392,0.5020722320899941,0.7902975469212401,0.04222394276212686
20260710,no_dropout_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8689267613744018,0.5198342214328004,0.7831046566995634,0.03970353672368077
20260710,dropout_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8687032811624499,0.5091770278271166,0.7828131086522155,0.037044139270033104
20260710,no_dropout_no_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.869120868180228,0.5198342214328004,0.7831046566995634,0.04032488896091635
20260710,dropout_no_missing_mask,with_dns_test_synthetic_missing,0.75,3372,1683,0.8689317976548809,0.5050325636471285,0.7839292579777009,0.036495703469515056
20260710,no_dropout_missing_mask,with_dns_test_synthetic_missing,1.0,3372,1683,0.868658356367026,0.5192421551213736,0.7852222298475482,0.041323773648958735
