seed,system,split,missing_rate,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE
20260708,lexical_only,with_dns_test_synthetic_missing,0.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260708,behavior_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.5738444319986198,0.8466548253404381,0.510338671328434,0.09733924111036182
20260708,fixed_average_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.8627732991028809,0.5476613380698638,0.7679177481594718,0.14035329910314212
20260708,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.87176335370317,0.5127294256956779,0.7818934349346538,0.07373894140740692
20260708,cross_attention_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.88098430249106,0.48845470692717585,0.7957977914446641,0.05489788454223543
20260708,lexical_only,with_dns_test_synthetic_missing,0.25,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260708,behavior_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.5390929192957756,0.8614564831261101,0.5201719189386715,0.14357419281757022
20260708,fixed_average_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8349302137692987,0.6234458259325044,0.7653829627124339,0.1148322076462934
20260708,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8685275248885178,0.5204262877442274,0.7865421243041177,0.06853432278755694
20260708,cross_attention_masked,with_dns_test_synthetic_missing,0.25,3372,1683,0.8745222312808131,0.48194197750148016,0.7946204631196385,0.04304212257834164
20260708,lexical_only,with_dns_test_synthetic_missing,0.5,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260708,behavior_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.5206848528060695,0.8786264061574897,0.5062114445939864,0.18413166718470506
20260708,fixed_average_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8380966874687055,0.6927175843694494,0.7597883329792073,0.11543846360363835
20260708,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8689107703403955,0.5121373593842511,0.7858246780575211,0.06907590449460962
20260708,cross_attention_masked,with_dns_test_synthetic_missing,0.5,3372,1683,0.8707610644127926,0.5020722320899941,0.7880772270918018,0.033517829453511394
20260708,lexical_only,with_dns_test_synthetic_missing,0.75,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260708,behavior_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.5064554293983957,0.8851391355831854,0.44648219087382296,0.2372722948414837
20260708,fixed_average_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8504233700250814,0.5849615156897573,0.7369172215237536,0.1293588249211972
20260708,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8694973338972282,0.5168738898756661,0.7840967938037555,0.06293018633612638
20260708,cross_attention_masked,with_dns_test_synthetic_missing,0.75,3372,1683,0.8689656215170003,0.5381882770870338,0.7840642039754868,0.02875153697114633
20260708,lexical_only,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260708,behavior_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.4991103202846975,1.0,0.3329376854599407,0.2753670775569491
20260708,fixed_average_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.734349360491428,0.16351918558155018
20260708,validation_tuned_constant_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7888403591940123,0.06406507859607452
20260708,cross_attention_masked,with_dns_test_synthetic_missing,1.0,3372,1683,0.86800859469365,0.5192421551213736,0.7876630332495484,0.02233414920034145
20260708,without_dns_lexical_fallback,without_dns_test,1.0,12085,5796,0.8835797059231075,0.5003975194784545,0.7969942494302624,0.01973758662113432
20260709,lexical_only,with_dns_test_synthetic_missing,0.0,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
20260709,behavior_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.5738444319986198,0.8466548253404381,0.510338671328434,0.09733924111036182
20260709,fixed_average_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.8627732991028809,0.5476613380698638,0.7679177481594718,0.14035329910314212
20260709,validation_tuned_constant_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.87176335370317,0.5127294256956779,0.7818934349346538,0.07373894140740692
20260709,cross_attention_masked,with_dns_test_synthetic_missing,0.0,3372,1683,0.8783685829927304,0.4896388395500296,0.7926957627792353,0.052913668041259035
20260709,lexical_only,with_dns_test_synthetic_missing,0.25,3372,1683,0.86800859469365,0.5192421551213736,0.7852222298475482,0.03857825640282059
