seed,system,subset,rows,positives,AUPRC,FPR@95TPR,macro_F1,ECE,recall@0.5
20260819,char_cnn,full_test,3372,1683,0.8550373235543947,0.664890467732386,0.7137012538256491,0.12140863240737365,0.8627450980392157
20260819,domurls_bert_frozen_embedding,full_test,3372,1683,0.8433614399557225,0.6631142687981054,0.7534256072760663,0.06521272208784529,0.809863339275104
20260819,char_cnn,lex_benign_shape,2018,932,0.8184510167095018,0.6832412523020258,0.7073703420552911,0.1184176544264712,0.8379828326180258
20260819,domurls_bert_frozen_embedding,lex_benign_shape,2018,932,0.7858972906639149,0.6758747697974218,0.7327589023897358,0.06453301010615425,0.7682403433476395
20260819,char_cnn,lex_benign_shape_multi_ip,606,171,0.5473143137283941,0.7609195402298851,0.637330623306233,0.24109058235787323,0.8187134502923976
20260819,domurls_bert_frozen_embedding,lex_benign_shape_multi_ip,606,171,0.5840838209202869,0.6758620689655173,0.6753061705134245,0.17061652993654877,0.7543859649122807
20260819,char_cnn,multi_ip_dns,952,285,0.6094111739065642,0.704647676161919,0.6283502725987751,0.2596386227318469,0.8456140350877193
20260819,domurls_bert_frozen_embedding,multi_ip_dns,952,285,0.6440610708878174,0.6536731634182908,0.6943440621323547,0.16244228177362918,0.7859649122807018
20260819,char_cnn,ttl_low,648,218,0.8461256976720322,0.4930232558139535,0.6979800804525996,0.25901905703645794,0.9495412844036697
20260819,domurls_bert_frozen_embedding,ttl_low,648,218,0.7836406752828818,0.5767441860465117,0.7701561653283413,0.14675311456262832,0.8853211009174312
20260820,char_cnn,full_test,3372,1683,0.838083833061929,0.6826524570751924,0.7232059793919987,0.05903114643597518,0.7855020796197266
20260820,domurls_bert_frozen_embedding,full_test,3372,1683,0.8433614399557225,0.6631142687981054,0.7534256072760663,0.06521272208784529,0.809863339275104
20260820,char_cnn,lex_benign_shape,2018,932,0.8046504742241454,0.6611418047882136,0.7204162245018276,0.06180734074387489,0.759656652360515
20260820,domurls_bert_frozen_embedding,lex_benign_shape,2018,932,0.7858972906639149,0.6758747697974218,0.7327589023897358,0.06453301010615425,0.7682403433476395
20260820,char_cnn,lex_benign_shape_multi_ip,606,171,0.5498726230905446,0.7563218390804598,0.6513314658328782,0.18042860814545414,0.7485380116959064
20260820,domurls_bert_frozen_embedding,lex_benign_shape_multi_ip,606,171,0.5840838209202869,0.6758620689655173,0.6753061705134245,0.17061652993654877,0.7543859649122807
20260820,char_cnn,multi_ip_dns,952,285,0.5894812744241522,0.7301349325337332,0.635149192444566,0.20488269919795649,0.7789473684210526
20260820,domurls_bert_frozen_embedding,multi_ip_dns,952,285,0.6440610708878174,0.6536731634182908,0.6943440621323547,0.16244228177362918,0.7859649122807018
20260820,char_cnn,ttl_low,648,218,0.8096263670409887,0.5581395348837209,0.7051815654225293,0.20701626191536585,0.8990825688073395
20260820,domurls_bert_frozen_embedding,ttl_low,648,218,0.7836406752828818,0.5767441860465117,0.7701561653283413,0.14675311456262832,0.8853211009174312
20260821,char_cnn,full_test,3372,1683,0.854760585750086,0.6660746003552398,0.7411182241248828,0.06267481577203723,0.8015448603683898
20260821,domurls_bert_frozen_embedding,full_test,3372,1683,0.8433614399557225,0.6631142687981054,0.7534256072760663,0.06521272208784529,0.809863339275104
20260821,char_cnn,lex_benign_shape,2018,932,0.8156676113728638,0.643646408839779,0.7274312377210216,0.06467852300647703,0.7778969957081545
20260821,domurls_bert_frozen_embedding,lex_benign_shape,2018,932,0.7858972906639149,0.6758747697974218,0.7327589023897358,0.06453301010615425,0.7682403433476395
20260821,char_cnn,lex_benign_shape_multi_ip,606,171,0.564608374171636,0.7931034482758621,0.6579725402465237,0.17868918851755636,0.7426900584795322
20260821,domurls_bert_frozen_embedding,lex_benign_shape_multi_ip,606,171,0.5840838209202869,0.6758620689655173,0.6753061705134245,0.17061652993654877,0.7543859649122807
20260821,char_cnn,multi_ip_dns,952,285,0.6305904411441738,0.7301349325337332,0.673796511931795,0.18799831798034056,0.7789473684210526
20260821,domurls_bert_frozen_embedding,multi_ip_dns,952,285,0.6440610708878174,0.6536731634182908,0.6943440621323547,0.16244228177362918,0.7859649122807018
20260821,char_cnn,ttl_low,648,218,0.8482044717129693,0.5,0.766033379591536,0.18283567108489854,0.8899082568807339
20260821,domurls_bert_frozen_embedding,ttl_low,648,218,0.7836406752828818,0.5767441860465117,0.7701561653283413,0.14675311456262832,0.8853211009174312
